,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR
1198002,RE1,S101,MINNGS,CONSNGS,2025,0.0,2025,MINNGS
1198003,RE1,S101,MINNGS,CONSNGS,2026,0.0,2026,MINNGS
1198004,RE1,S101,MINNGS,CONSNGS,2027,0.0,2027,MINNGS
1198005,RE1,S101,MINNGS,CONSNGS,2028,0.0,2028,MINNGS
1198006,RE1,S101,MINNGS,CONSNGS,2029,0.0,2029,MINNGS
1198007,RE1,S101,MINNGS,CONSNGS,2030,0.0,2030,MINNGS
1198008,RE1,S101,MINNGS,CONSNGS,2031,0.0,2031,MINNGS
1198009,RE1,S101,MINNGS,CONSNGS,2032,0.0,2032,MINNGS
1198010,RE1,S101,MINNGS,CONSNGS,2033,0.0,2033,MINNGS
1198011,RE1,S101,MINNGS,CONSNGS,2034,0.0,2034,MINNGS
1198012,RE1,S101,MINNGS,CONSNGS,2035,0.0,2035,MINNGS
1198013,RE1,S101,MINNGS,CONSNGS,2036,0.0,2036,MINNGS
1198014,RE1,S101,MINNGS,CONSNGS,2037,0.0,2037,MINNGS
1198015,RE1,S101,MINNGS,CONSNGS,2038,0.0,2038,MINNGS
1198016,RE1,S101,MINNGS,CONSNGS,2039,0.0,2039,MINNGS
1198017,RE1,S101,MINNGS,CONSNGS,2040,0.0,2040,MINNGS
1198018,RE1,S101,MINNGS,CONSNGS,2041,0.0,2041,MINNGS
1198019,RE1,S101,MINNGS,CONSNGS,2042,0.0,2042,MINNGS
1198020,RE1,S101,MINNGS,CONSNGS,2043,0.0,2043,MINNGS
1198021,RE1,S101,MINNGS,CONSNGS,2044,0.0,2044,MINNGS
1198022,RE1,S101,MINNGS,CONSNGS,2045,0.0,2045,MINNGS
1198023,RE1,S101,MINNGS,CONSNGS,2046,0.0,2046,MINNGS
1198024,RE1,S101,MINNGS,CONSNGS,2047,0.0,2047,MINNGS
1198025,RE1,S101,MINNGS,CONSNGS,2048,0.0,2048,MINNGS
1198026,RE1,S101,MINNGS,CONSNGS,2049,0.0,2049,MINNGS
1198027,RE1,S101,MINNGS,CONSNGS,2050,0.0,2050,MINNGS
1198028,RE1,S101,MINNGS,CONSNGS,2051,0.0,2051,MINNGS
1198029,RE1,S101,MINNGS,CONSNGS,2052,0.0,2052,MINNGS
1198030,RE1,S101,MINNGS,CONSNGS,2053,0.0,2053,MINNGS
1198031,RE1,S101,MINNGS,CONSNGS,2054,0.0,2054,MINNGS
1198032,RE1,S101,MINNGS,COQDSL,2022,0.0,2022,MINNGS
1198033,RE1,S101,MINNGS,COQDSL,2023,0.0,2023,MINNGS
1198034,RE1,S101,MINNGS,COQDSL,2024,0.0,2024,MINNGS
1198035,RE1,S101,MINNGS,COQDSL,2025,0.0,2025,MINNGS
1198036,RE1,S101,MINNGS,COQDSL,2026,0.0,2026,MINNGS
1198037,RE1,S101,MINNGS,COQDSL,2027,0.0,2027,MINNGS
1198038,RE1,S101,MINNGS,COQDSL,2028,0.0,2028,MINNGS
1198039,RE1,S101,MINNGS,COQDSL,2029,0.0,2029,MINNGS
1198040,RE1,S101,MINNGS,COQDSL,2030,0.0,2030,MINNGS
1198041,RE1,S101,MINNGS,COQDSL,2031,0.0,2031,MINNGS
1198042,RE1,S101,MINNGS,COQDSL,2032,0.0,2032,MINNGS
1198043,RE1,S101,MINNGS,COQDSL,2033,0.0,2033,MINNGS
1198044,RE1,S101,MINNGS,COQDSL,2034,0.0,2034,MINNGS
1198045,RE1,S101,MINNGS,COQDSL,2035,0.0,2035,MINNGS
1198046,RE1,S101,MINNGS,COQDSL,2036,0.0,2036,MINNGS
1198047,RE1,S101,MINNGS,COQDSL,2037,0.0,2037,MINNGS
1198048,RE1,S101,MINNGS,COQDSL,2038,0.0,2038,MINNGS
1198049,RE1,S101,MINNGS,COQDSL,2039,0.0,2039,MINNGS
1198050,RE1,S101,MINNGS,COQDSL,2040,0.0,2040,MINNGS
1198051,RE1,S101,MINNGS,COQDSL,2041,0.0,2041,MINNGS
1198052,RE1,S101,MINNGS,COQDSL,2042,0.0,2042,MINNGS
1198053,RE1,S101,MINNGS,COQDSL,2043,0.0,2043,MINNGS
1198054,RE1,S101,MINNGS,COQDSL,2044,0.0,2044,MINNGS
1198055,RE1,S101,MINNGS,COQDSL,2045,0.0,2045,MINNGS
1198056,RE1,S101,MINNGS,COQDSL,2046,0.0,2046,MINNGS
1198057,RE1,S101,MINNGS,COQDSL,2047,0.0,2047,MINNGS
1198058,RE1,S101,MINNGS,COQDSL,2048,0.0,2048,MINNGS
1198059,RE1,S101,MINNGS,COQDSL,2049,0.0,2049,MINNGS
1198060,RE1,S101,MINNGS,COQDSL,2050,0.0,2050,MINNGS
1198061,RE1,S101,MINNGS,COQDSL,2051,0.0,2051,MINNGS
1198062,RE1,S101,MINNGS,COQDSL,2052,0.0,2052,MINNGS
1198063,RE1,S101,MINNGS,COQDSL,2053,0.0,2053,MINNGS
1198064,RE1,S101,MINNGS,COQDSL,2054,0.0,2054,MINNGS
1198065,RE1,S101,MINNGS,COQGSL,2022,0.0,2022,MINNGS
1198066,RE1,S101,MINNGS,COQGSL,2023,0.0,2023,MINNGS
1198067,RE1,S101,MINNGS,COQGSL,2024,0.0,2024,MINNGS
1198068,RE1,S101,MINNGS,COQGSL,2025,0.0,2025,MINNGS
1198069,RE1,S101,MINNGS,COQGSL,2026,0.0,2026,MINNGS
1198070,RE1,S101,MINNGS,COQGSL,2027,0.0,2027,MINNGS
1198071,RE1,S101,MINNGS,COQGSL,2028,0.0,2028,MINNGS
1198072,RE1,S101,MINNGS,COQGSL,2029,0.0,2029,MINNGS
1198073,RE1,S101,MINNGS,COQGSL,2030,0.0,2030,MINNGS
1198074,RE1,S101,MINNGS,COQGSL,2031,0.0,2031,MINNGS
1198075,RE1,S101,MINNGS,COQGSL,2032,0.0,2032,MINNGS
1198076,RE1,S101,MINNGS,COQGSL,2033,0.0,2033,MINNGS
1198077,RE1,S101,MINNGS,COQGSL,2034,0.0,2034,MINNGS
1198078,RE1,S101,MINNGS,COQGSL,2035,0.0,2035,MINNGS
1198079,RE1,S101,MINNGS,COQGSL,2036,0.0,2036,MINNGS
1198080,RE1,S101,MINNGS,COQGSL,2037,0.0,2037,MINNGS
1198081,RE1,S101,MINNGS,COQGSL,2038,0.0,2038,MINNGS
1198082,RE1,S101,MINNGS,COQGSL,2039,0.0,2039,MINNGS
1198083,RE1,S101,MINNGS,COQGSL,2040,0.0,2040,MINNGS
1198084,RE1,S101,MINNGS,COQGSL,2041,0.0,2041,MINNGS
1198085,RE1,S101,MINNGS,COQGSL,2042,0.0,2042,MINNGS
1198086,RE1,S101,MINNGS,COQGSL,2043,0.0,2043,MINNGS
1198087,RE1,S101,MINNGS,COQGSL,2044,0.0,2044,MINNGS
1198088,RE1,S101,MINNGS,COQGSL,2045,0.0,2045,MINNGS
1198089,RE1,S101,MINNGS,COQGSL,2046,0.0,2046,MINNGS
1198090,RE1,S101,MINNGS,COQGSL,2047,0.0,2047,MINNGS
1198091,RE1,S101,MINNGS,COQGSL,2048,0.0,2048,MINNGS
1198092,RE1,S101,MINNGS,COQGSL,2049,0.0,2049,MINNGS
1198093,RE1,S101,MINNGS,COQGSL,2050,0.0,2050,MINNGS
1198094,RE1,S101,MINNGS,COQGSL,2051,0.0,2051,MINNGS
1198095,RE1,S101,MINNGS,COQGSL,2052,0.0,2052,MINNGS
1198096,RE1,S101,MINNGS,COQGSL,2053,0.0,2053,MINNGS
1198097,RE1,S101,MINNGS,COQGSL,2054,0.0,2054,MINNGS
1198098,RE1,S101,MINNGS,INDIHT,2022,0.0,2022,MINNGS
1198099,RE1,S101,MINNGS,INDIHT,2023,0.0,2023,MINNGS
1198100,RE1,S101,MINNGS,INDIHT,2024,0.0,2024,MINNGS
1198101,RE1,S101,MINNGS,INDIHT,2025,0.0,2025,MINNGS
1198102,RE1,S101,MINNGS,INDIHT,2026,0.0,2026,MINNGS
1198103,RE1,S101,MINNGS,INDIHT,2027,0.0,2027,MINNGS
1198104,RE1,S101,MINNGS,INDIHT,2028,0.0,2028,MINNGS
1198105,RE1,S101,MINNGS,INDIHT,2029,0.0,2029,MINNGS
1198106,RE1,S101,MINNGS,INDIHT,2030,0.0,2030,MINNGS
1198107,RE1,S101,MINNGS,INDIHT,2031,0.0,2031,MINNGS
1198108,RE1,S101,MINNGS,INDIHT,2032,0.0,2032,MINNGS
1198109,RE1,S101,MINNGS,INDIHT,2033,0.0,2033,MINNGS
1198110,RE1,S101,MINNGS,INDIHT,2034,0.0,2034,MINNGS
1198111,RE1,S101,MINNGS,INDIHT,2035,0.0,2035,MINNGS
1198112,RE1,S101,MINNGS,INDIHT,2036,0.0,2036,MINNGS
1198113,RE1,S101,MINNGS,INDIHT,2037,0.0,2037,MINNGS
1198114,RE1,S101,MINNGS,INDIHT,2038,0.0,2038,MINNGS
1198115,RE1,S101,MINNGS,INDIHT,2039,0.0,2039,MINNGS
1198116,RE1,S101,MINNGS,INDIHT,2040,0.0,2040,MINNGS
1198117,RE1,S101,MINNGS,INDIHT,2041,0.0,2041,MINNGS
1198118,RE1,S101,MINNGS,INDIHT,2042,0.0,2042,MINNGS
