,COLOR,TIME,TIME_NUM,VALUE
708,PWRSOLUPE,2037,2037,2.7243453269999995
81,PWRCOA,2037,2037,4.43049264
642,PWRSOLUGE,2037,2037,24.81069749180539
609,PWRSOLRTP_ZNI,2037,2037,0.13265542806884195
643,PWRSOLUGE,2038,2038,24.81069749180539
82,PWRCOA,2038,2038,3.9780220095986665
214,PWRFOIL,2038,2038,0.37629029282000004
874,PWRWNDONS,2038,2038,3.655925714285722
610,PWRSOLRTP_ZNI,2038,2038,0.13681807275464777
280,PWRHYDDAM,2038,2038,61.516224
346,PWRHYDROR_NDC,2038,2038,5.224791689699999
181,PWRDSL,2038,2038,1.0219528667
709,PWRSOLUPE,2038,2038,2.7243453269999995
478,PWRNGS_CC,2038,2038,4.856
49,PWRBGS,2038,2038,0.004672907712
511,PWRNGS_CS,2038,2038,2.633
313,PWRHYDROR,2038,2038,3.0620799
577,PWRSOLRTP,2038,2038,0.6034049426257805
611,PWRSOLRTP_ZNI,2039,2039,0.14106673293965416
710,PWRSOLUPE,2039,2039,2.7243453269999995
50,PWRBGS,2039,2039,0.0010245641700000001
644,PWRSOLUGE,2039,2039,24.81069749180539
875,PWRWNDONS,2039,2039,3.655925714285722
182,PWRDSL,2039,2039,1.0219528667
314,PWRHYDROR,2039,2039,3.22910244
479,PWRNGS_CC,2039,2039,4.856
578,PWRSOLRTP,2039,2039,0.6432929867977805
512,PWRNGS_CS,2039,2039,2.633
347,PWRHYDROR_NDC,2039,2039,5.50978032732
215,PWRFOIL,2039,2039,0.37629029282000004
281,PWRHYDDAM,2039,2039,64.8716544
83,PWRCOA,2039,2039,3.46150575568
579,PWRSOLRTP,2040,2040,4.344866217268778
876,PWRWNDONS,2040,2040,3.655925714285722
480,PWRNGS_CC,2040,2040,4.856
513,PWRNGS_CS,2040,2040,2.633
183,PWRDSL,2040,2040,1.0219528667
612,PWRSOLRTP_ZNI,2040,2040,0.14540505035366416
216,PWRFOIL,2040,2040,0.37629029282000004
84,PWRCOA,2040,2040,3.46150575568
315,PWRHYDROR,2040,2040,3.0620799
348,PWRHYDROR_NDC,2040,2040,5.224791689699999
645,PWRSOLUGE,2040,2040,28.618139069425276
51,PWRBGS,2040,2040,0.0010245641700000001
711,PWRSOLUPE,2040,2040,2.7243453269999995
282,PWRHYDDAM,2040,2040,61.516224
52,PWRBGS,2041,2041,0.004672907712
613,PWRSOLRTP_ZNI,2041,2041,0.1498370261407175
349,PWRHYDROR_NDC,2041,2041,4.749810627
85,PWRCOA,2041,2041,4.43049264
646,PWRSOLUGE,2041,2041,34.24643906942528
712,PWRSOLUPE,2041,2041,2.7243453269999995
283,PWRHYDDAM,2041,2041,55.92384
316,PWRHYDROR,2041,2041,2.783709
877,PWRWNDONS,2041,2041,3.655925714285722
580,PWRSOLRTP,2041,2041,11.766220706358917
878,PWRWNDONS,2042,2042,3.655925714285722
350,PWRHYDROR_NDC,2042,2042,4.46482198938
86,PWRCOA,2042,2042,4.43049264
53,PWRBGS,2042,2042,0.004672907712
317,PWRHYDROR,2042,2042,2.61668646
581,PWRSOLRTP,2042,2042,13.318752812741723
713,PWRSOLUPE,2042,2042,2.7243453269999995
284,PWRHYDDAM,2042,2042,52.568409599999995
647,PWRSOLUGE,2042,2042,39.874739069425274
614,PWRSOLRTP_ZNI,2042,2042,0.15436145745280416
879,PWRWNDONS,2043,2043,3.655925714285722
351,PWRHYDROR_NDC,2043,2043,4.749810627
285,PWRHYDDAM,2043,2043,55.92384
714,PWRSOLUPE,2043,2043,2.7243453269999995
54,PWRBGS,2043,2043,0.004672907712
87,PWRCOA,2043,2043,4.43049264
318,PWRHYDROR,2043,2043,2.783709
615,PWRSOLRTP_ZNI,2043,2043,0.15897979084304692
648,PWRSOLUGE,2043,2043,40.88603453537639
582,PWRSOLRTP,2043,2043,13.358640856913722
715,PWRSOLUPE,2044,2044,2.7243453269999995
55,PWRBGS,2044,2044,0.004672907712
649,PWRSOLUGE,2044,2044,40.88603453537639
319,PWRHYDROR,2044,2044,3.0620799
616,PWRSOLRTP_ZNI,2044,2044,0.16369029291409581
583,PWRSOLRTP,2044,2044,13.66363830254725
286,PWRHYDDAM,2044,2044,61.516224
880,PWRWNDONS,2044,2044,3.655925714285722
352,PWRHYDROR_NDC,2044,2044,5.224791689699999
89,PWRCOA,2045,2045,0.7386261936467083
716,PWRSOLUPE,2045,2045,1.6333333333333333
320,PWRHYDROR,2045,2045,3.22910244
584,PWRSOLRTP,2045,2045,17.830127739659
287,PWRHYDDAM,2045,2045,64.8716544
650,PWRSOLUGE,2045,2045,37.43097875777639
353,PWRHYDROR_NDC,2045,2045,5.50978032732
56,PWRBGS,2045,2045,0.004672907712
881,PWRWNDONS,2045,2045,3.655925714285722
617,PWRSOLRTP_ZNI,2045,2045,0.16849784463760195
321,PWRHYDROR,2046,2046,3.0620799
882,PWRWNDONS,2046,2046,3.655925714285722
288,PWRHYDDAM,2046,2046,61.516224
354,PWRHYDROR_NDC,2046,2046,5.224791689699999
90,PWRCOA,2046,2046,4.43049264
585,PWRSOLRTP,2046,2046,20.42433164599975
651,PWRSOLUGE,2046,2046,37.546553889043054
717,PWRSOLUPE,2046,2046,1.6333333333333333
57,PWRBGS,2046,2046,0.004672907712
618,PWRSOLRTP_ZNI,2046,2046,0.17938973798759694
58,PWRBGS,2047,2047,0.004672907712
619,PWRSOLRTP_ZNI,2047,2047,0.18439303245994526
718,PWRSOLUPE,2047,2047,1.7057962582582584
91,PWRCOA,2047,2047,4.43049264
322,PWRHYDROR,2047,2047,2.783709
586,PWRSOLRTP,2047,2047,23.1676859627695
355,PWRHYDROR_NDC,2047,2047,4.749810627
883,PWRWNDONS,2047,2047,3.655925714285722
289,PWRHYDDAM,2047,2047,55.92384
652,PWRSOLUGE,2047,2047,42.75377367984917
620,PWRSOLRTP_ZNI,2048,2048,0.1886701800312575
290,PWRHYDDAM,2048,2048,52.568409599999995
92,PWRCOA,2048,2048,4.43049264
587,PWRSOLRTP,2048,2048,27.9694716269825
323,PWRHYDROR,2048,2048,2.61668646
356,PWRHYDROR_NDC,2048,2048,4.46482198938
59,PWRBGS,2048,2048,0.004672907712
719,PWRSOLUPE,2048,2048,1.7057962582582584
884,PWRWNDONS,2048,2048,3.655925714285722
653,PWRSOLUGE,2048,2048,42.75377367984917
588,PWRSOLRTP,2049,2049,28.009359671154442
720,PWRSOLUPE,2049,2049,1.7057962582582584
885,PWRWNDONS,2049,2049,3.655925714285722
93,PWRCOA,2049,2049,4.43049264
291,PWRHYDDAM,2049,2049,55.92384
621,PWRSOLRTP_ZNI,2049,2049,0.1886701800312575
60,PWRBGS,2049,2049,0.004672907712
357,PWRHYDROR_NDC,2049,2049,4.749810627
324,PWRHYDROR,2049,2049,2.783709
654,PWRSOLUGE,2049,2049,42.75377367984917
886,PWRWNDONS,2050,2050,4.04076
292,PWRHYDDAM,2050,2050,57.384551094550275
655,PWRSOLUGE,2050,2050,45.728558056490556
622,PWRSOLRTP_ZNI,2050,2050,0.199888406952035
358,PWRHYDROR_NDC,2050,2050,5.224791689699999
721,PWRSOLUPE,2050,2050,1.6333333333333333
325,PWRHYDROR,2050,2050,3.0620799
589,PWRSOLRTP,2050,2050,29.78787144196222
590,PWRSOLRTP,2051,2051,31.45734976373528
656,PWRSOLUGE,2051,2051,41.420547736490555
359,PWRHYDROR_NDC,2051,2051,5.50978032732
293,PWRHYDDAM,2051,2051,61.240550236930275
623,PWRSOLRTP_ZNI,2051,2051,0.19988840695203527
887,PWRWNDONS,2051,2051,4.04076
326,PWRHYDROR,2051,2051,3.22910244
722,PWRSOLUPE,2051,2051,1.6333333333333333
624,PWRSOLRTP_ZNI,2052,2052,0.19988840695203527
360,PWRHYDROR_NDC,2052,2052,5.224791689699999
591,PWRSOLRTP,2052,2052,33.27692395986861
888,PWRWNDONS,2052,2052,4.04076
657,PWRSOLUGE,2052,2052,41.59221224332889
63,PWRBGS,2052,2052,0.004672907712
723,PWRSOLUPE,2052,2052,1.6333333333333333
294,PWRHYDDAM,2052,2052,61.516224
327,PWRHYDROR,2052,2052,3.0620799
