,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR,GRUPO
489309,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2040,0.0,2040,DEMRESELCREF_HIG_URB,ELC
489310,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2041,0.0,2041,DEMRESELCREF_HIG_URB,ELC
489311,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2042,0.0,2042,DEMRESELCREF_HIG_URB,ELC
489312,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2043,0.0,2043,DEMRESELCREF_HIG_URB,ELC
489313,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2044,0.0,2044,DEMRESELCREF_HIG_URB,ELC
489314,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2045,0.0,2045,DEMRESELCREF_HIG_URB,ELC
489315,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2046,0.0,2046,DEMRESELCREF_HIG_URB,ELC
489316,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2047,0.0,2047,DEMRESELCREF_HIG_URB,ELC
489317,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2048,0.0,2048,DEMRESELCREF_HIG_URB,ELC
489318,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2049,0.0,2049,DEMRESELCREF_HIG_URB,ELC
489319,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2050,0.0,2050,DEMRESELCREF_HIG_URB,ELC
489320,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2051,0.0,2051,DEMRESELCREF_HIG_URB,ELC
489321,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2052,0.0,2052,DEMRESELCREF_HIG_URB,ELC
489322,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2053,0.0,2053,DEMRESELCREF_HIG_URB,ELC
489323,RE1,S101,DEMRESELCREF_HIG_URB,AGFELC,2054,0.0,2054,DEMRESELCREF_HIG_URB,ELC
489324,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2022,0.0,2022,DEMRESELCREF_HIG_URB,ELC
489325,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2023,0.0,2023,DEMRESELCREF_HIG_URB,ELC
489326,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2024,0.0,2024,DEMRESELCREF_HIG_URB,ELC
489327,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2025,0.0,2025,DEMRESELCREF_HIG_URB,ELC
489328,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2026,0.0,2026,DEMRESELCREF_HIG_URB,ELC
489329,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2027,0.0,2027,DEMRESELCREF_HIG_URB,ELC
489330,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2028,0.0,2028,DEMRESELCREF_HIG_URB,ELC
489331,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2029,0.0,2029,DEMRESELCREF_HIG_URB,ELC
489332,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2030,0.0,2030,DEMRESELCREF_HIG_URB,ELC
489333,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2031,0.0,2031,DEMRESELCREF_HIG_URB,ELC
489334,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2032,0.0,2032,DEMRESELCREF_HIG_URB,ELC
489335,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2033,0.0,2033,DEMRESELCREF_HIG_URB,ELC
489336,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2034,0.0,2034,DEMRESELCREF_HIG_URB,ELC
489337,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2035,0.0,2035,DEMRESELCREF_HIG_URB,ELC
489338,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2036,0.0,2036,DEMRESELCREF_HIG_URB,ELC
489339,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2037,0.0,2037,DEMRESELCREF_HIG_URB,ELC
489340,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2038,0.0,2038,DEMRESELCREF_HIG_URB,ELC
489341,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2039,0.0,2039,DEMRESELCREF_HIG_URB,ELC
489342,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2040,0.0,2040,DEMRESELCREF_HIG_URB,ELC
489343,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2041,0.0,2041,DEMRESELCREF_HIG_URB,ELC
489344,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2042,0.0,2042,DEMRESELCREF_HIG_URB,ELC
489345,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2043,0.0,2043,DEMRESELCREF_HIG_URB,ELC
489346,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2044,0.0,2044,DEMRESELCREF_HIG_URB,ELC
489347,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2045,0.0,2045,DEMRESELCREF_HIG_URB,ELC
489348,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2046,0.0,2046,DEMRESELCREF_HIG_URB,ELC
489349,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2047,0.0,2047,DEMRESELCREF_HIG_URB,ELC
489350,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2048,0.0,2048,DEMRESELCREF_HIG_URB,ELC
489351,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2049,0.0,2049,DEMRESELCREF_HIG_URB,ELC
