,TECHNOLOGY,YEAR,VALUE
12091,PWRSOLRTP_ZNI,2035,0.07686768040694626
12092,PWRSOLRTP_ZNI,2036,0.07933849765541347
12093,PWRSOLRTP_ZNI,2037,0.08185574976480443
12094,PWRSOLRTP_ZNI,2038,0.0844243321946487
12095,PWRSOLRTP_ZNI,2039,0.08704599095375426
12096,PWRSOLRTP_ZNI,2040,0.08972297319120334
12097,PWRSOLRTP_ZNI,2041,0.09245774783457816
12098,PWRSOLRTP_ZNI,2042,0.09524957266000497
12099,PWRSOLRTP_ZNI,2043,0.09809934027091632
12100,PWRSOLRTP_ZNI,2044,0.10100598106509676
12101,PWRSOLRTP_ZNI,2045,0.10397250687251748
12102,PWRSOLRTP_ZNI,2046,0.11069340860644014
12103,PWRSOLRTP_ZNI,2047,0.11378071853631078
12104,PWRSOLRTP_ZNI,2048,0.11641995559129799
12105,PWRSOLRTP_ZNI,2049,0.11641995559129799
12106,PWRSOLRTP_ZNI,2050,0.11641995559129799
12107,PWRSOLRTP_ZNI,2051,0.11641995559129799
12108,PWRSOLRTP_ZNI,2052,0.11641995559129799
12109,PWRSOLRTP_ZNI,2053,0.11748069379587768
12110,PWRSOLRTP_ZNI,2054,0.11891023773056089
12111,PWRSOLUGE,2022,0.21799999999999997
12112,PWRSOLUGE,2023,1.0550000000000002
12113,PWRSOLUGE,2024,1.3746800000000001
12114,PWRSOLUGE,2025,1.7476800000000001
12115,PWRSOLUGE,2026,3.51668
12116,PWRSOLUGE,2027,5.83168
12117,PWRSOLUGE,2028,5.83168
12118,PWRSOLUGE,2029,5.83168
12119,PWRSOLUGE,2030,6.08168
12120,PWRSOLUGE,2031,6.08168
12121,PWRSOLUGE,2032,6.08168
12122,PWRSOLUGE,2033,6.08168
12123,PWRSOLUGE,2034,6.08168
12124,PWRSOLUGE,2035,8.58168
12125,PWRSOLUGE,2036,11.0205112963974
12126,PWRSOLUGE,2037,11.0205112963974
12127,PWRSOLUGE,2038,11.0205112963974
12128,PWRSOLUGE,2039,11.0205112963974
12129,PWRSOLUGE,2040,12.71171538005499
12130,PWRSOLUGE,2041,15.211715380054992
12131,PWRSOLUGE,2042,17.711715380054994
12132,PWRSOLUGE,2043,18.160916500264882
12133,PWRSOLUGE,2044,18.160916500264882
12134,PWRSOLUGE,2045,16.626236500264884
12135,PWRSOLUGE,2046,16.677573107795883
12136,PWRSOLUGE,2047,18.990536076545798
12137,PWRSOLUGE,2048,18.990536076545798
12138,PWRSOLUGE,2049,18.990536076545798
12139,PWRSOLUGE,2050,18.7775360765458
12140,PWRSOLUGE,2051,17.0085360765458
12141,PWRSOLUGE,2052,17.079026741618517
12142,PWRSOLUGE,2053,19.489737173273188
12143,PWRSOLUGE,2054,20.93616343226601
12177,PWRSOLUPE,2022,0.25122
12178,PWRSOLUPE,2023,0.439216
12179,PWRSOLUPE,2024,0.804265
12180,PWRSOLUPE,2025,0.9670650000000001
12181,PWRSOLUPE,2026,1.0770650000000002
12182,PWRSOLUPE,2027,1.187065
12183,PWRSOLUPE,2028,1.2970650000000001
12184,PWRSOLUPE,2029,1.4070650000000002
12185,PWRSOLUPE,2030,1.517065
12186,PWRSOLUPE,2031,1.517065
12187,PWRSOLUPE,2032,1.517065
12188,PWRSOLUPE,2033,1.517065
12189,PWRSOLUPE,2034,1.517065
12190,PWRSOLUPE,2035,1.517065
12191,PWRSOLUPE,2036,1.517065
12192,PWRSOLUPE,2037,1.517065
12193,PWRSOLUPE,2038,1.517065
12194,PWRSOLUPE,2039,1.517065
12195,PWRSOLUPE,2040,1.517065
12196,PWRSOLUPE,2041,1.517065
12197,PWRSOLUPE,2042,1.517065
12198,PWRSOLUPE,2043,1.517065
12199,PWRSOLUPE,2044,1.517065
12200,PWRSOLUPE,2045,0.9095296432416378
12201,PWRSOLUPE,2046,0.9095296432416378
12202,PWRSOLUPE,2047,0.949880976867278
12203,PWRSOLUPE,2048,0.949880976867278
12204,PWRSOLUPE,2049,0.949880976867278
12205,PWRSOLUPE,2050,0.839880976867278
12206,PWRSOLUPE,2051,0.839880976867278
12207,PWRSOLUPE,2052,0.839880976867278
12208,PWRSOLUPE,2053,0.839880976867278
12209,PWRSOLUPE,2054,0.839880976867278
12210,PWRSTD,2022,0.258849
12211,PWRSTD,2023,0.258849
12212,PWRSTD,2024,0.258849
12213,PWRSTD,2025,0.258849
12214,PWRSTD,2026,0.258849
12215,PWRSTD,2027,0.258849
12216,PWRSTD,2028,0.258849
12217,PWRSTD,2029,0.258849
