,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR
1143983,RE1,S101,IMPDSL,CONSDSL,2027,0.0,2027,IMPDSL
1143984,RE1,S101,IMPDSL,CONSDSL,2028,0.0,2028,IMPDSL
1143985,RE1,S101,IMPDSL,CONSDSL,2029,0.0,2029,IMPDSL
1143986,RE1,S101,IMPDSL,CONSDSL,2030,0.0,2030,IMPDSL
1143987,RE1,S101,IMPDSL,CONSDSL,2031,0.0,2031,IMPDSL
1143988,RE1,S101,IMPDSL,CONSDSL,2032,0.0,2032,IMPDSL
1143989,RE1,S101,IMPDSL,CONSDSL,2033,0.0,2033,IMPDSL
1143990,RE1,S101,IMPDSL,CONSDSL,2034,0.0,2034,IMPDSL
1143991,RE1,S101,IMPDSL,CONSDSL,2035,0.0,2035,IMPDSL
1143992,RE1,S101,IMPDSL,CONSDSL,2036,0.0,2036,IMPDSL
1143993,RE1,S101,IMPDSL,CONSDSL,2037,0.0,2037,IMPDSL
1143994,RE1,S101,IMPDSL,CONSDSL,2038,0.0,2038,IMPDSL
1143995,RE1,S101,IMPDSL,CONSDSL,2039,0.0,2039,IMPDSL
1143996,RE1,S101,IMPDSL,CONSDSL,2040,0.0,2040,IMPDSL
1143997,RE1,S101,IMPDSL,CONSDSL,2041,0.0,2041,IMPDSL
1143998,RE1,S101,IMPDSL,CONSDSL,2042,0.0,2042,IMPDSL
1143999,RE1,S101,IMPDSL,CONSDSL,2043,0.0,2043,IMPDSL
1144000,RE1,S101,IMPDSL,CONSDSL,2044,0.0,2044,IMPDSL
1144001,RE1,S101,IMPDSL,CONSDSL,2045,0.0,2045,IMPDSL
1144002,RE1,S101,IMPDSL,CONSDSL,2046,0.0,2046,IMPDSL
1144003,RE1,S101,IMPDSL,CONSDSL,2047,0.0,2047,IMPDSL
1144004,RE1,S101,IMPDSL,CONSDSL,2048,0.0,2048,IMPDSL
1144005,RE1,S101,IMPDSL,CONSDSL,2049,0.0,2049,IMPDSL
1144006,RE1,S101,IMPDSL,CONSDSL,2050,0.0,2050,IMPDSL
1144007,RE1,S101,IMPDSL,CONSDSL,2051,0.0,2051,IMPDSL
1144008,RE1,S101,IMPDSL,CONSDSL,2052,0.0,2052,IMPDSL
1144009,RE1,S101,IMPDSL,CONSDSL,2053,0.0,2053,IMPDSL
1144010,RE1,S101,IMPDSL,CONSDSL,2054,0.0,2054,IMPDSL
1144011,RE1,S101,IMPDSL,CONSELC,2022,0.0,2022,IMPDSL
1144012,RE1,S101,IMPDSL,CONSELC,2023,0.0,2023,IMPDSL
1144013,RE1,S101,IMPDSL,CONSELC,2024,0.0,2024,IMPDSL
1144014,RE1,S101,IMPDSL,CONSELC,2025,0.0,2025,IMPDSL
1144015,RE1,S101,IMPDSL,CONSELC,2026,0.0,2026,IMPDSL
1144016,RE1,S101,IMPDSL,CONSELC,2027,0.0,2027,IMPDSL
1144017,RE1,S101,IMPDSL,CONSELC,2028,0.0,2028,IMPDSL
1144018,RE1,S101,IMPDSL,CONSELC,2029,0.0,2029,IMPDSL
1144019,RE1,S101,IMPDSL,CONSELC,2030,0.0,2030,IMPDSL
1144020,RE1,S101,IMPDSL,CONSELC,2031,0.0,2031,IMPDSL
1144021,RE1,S101,IMPDSL,CONSELC,2032,0.0,2032,IMPDSL
1144022,RE1,S101,IMPDSL,CONSELC,2033,0.0,2033,IMPDSL
1144023,RE1,S101,IMPDSL,CONSELC,2034,0.0,2034,IMPDSL
1144024,RE1,S101,IMPDSL,CONSELC,2035,0.0,2035,IMPDSL
1144025,RE1,S101,IMPDSL,CONSELC,2036,0.0,2036,IMPDSL
1144026,RE1,S101,IMPDSL,CONSELC,2037,0.0,2037,IMPDSL
1144027,RE1,S101,IMPDSL,CONSELC,2038,0.0,2038,IMPDSL
1144028,RE1,S101,IMPDSL,CONSELC,2039,0.0,2039,IMPDSL
1144029,RE1,S101,IMPDSL,CONSELC,2040,0.0,2040,IMPDSL
1144030,RE1,S101,IMPDSL,CONSELC,2041,0.0,2041,IMPDSL
1144031,RE1,S101,IMPDSL,CONSELC,2042,0.0,2042,IMPDSL
1144032,RE1,S101,IMPDSL,CONSELC,2043,0.0,2043,IMPDSL
1144033,RE1,S101,IMPDSL,CONSELC,2044,0.0,2044,IMPDSL
1144034,RE1,S101,IMPDSL,CONSELC,2045,0.0,2045,IMPDSL
1144035,RE1,S101,IMPDSL,CONSELC,2046,0.0,2046,IMPDSL
1144036,RE1,S101,IMPDSL,CONSELC,2047,0.0,2047,IMPDSL
1144037,RE1,S101,IMPDSL,CONSELC,2048,0.0,2048,IMPDSL
1144038,RE1,S101,IMPDSL,CONSELC,2049,0.0,2049,IMPDSL
1144039,RE1,S101,IMPDSL,CONSELC,2050,0.0,2050,IMPDSL
1144040,RE1,S101,IMPDSL,CONSELC,2051,0.0,2051,IMPDSL
1144041,RE1,S101,IMPDSL,CONSELC,2052,0.0,2052,IMPDSL
1144042,RE1,S101,IMPDSL,CONSELC,2053,0.0,2053,IMPDSL
1144043,RE1,S101,IMPDSL,CONSELC,2054,0.0,2054,IMPDSL
1144044,RE1,S101,IMPDSL,CONSNGS,2022,0.0,2022,IMPDSL
1144045,RE1,S101,IMPDSL,CONSNGS,2023,0.0,2023,IMPDSL
1144046,RE1,S101,IMPDSL,CONSNGS,2024,0.0,2024,IMPDSL
1144047,RE1,S101,IMPDSL,CONSNGS,2025,0.0,2025,IMPDSL
1144048,RE1,S101,IMPDSL,CONSNGS,2026,0.0,2026,IMPDSL
1144049,RE1,S101,IMPDSL,CONSNGS,2027,0.0,2027,IMPDSL
1144050,RE1,S101,IMPDSL,CONSNGS,2028,0.0,2028,IMPDSL
1144051,RE1,S101,IMPDSL,CONSNGS,2029,0.0,2029,IMPDSL
1144052,RE1,S101,IMPDSL,CONSNGS,2030,0.0,2030,IMPDSL
1144053,RE1,S101,IMPDSL,CONSNGS,2031,0.0,2031,IMPDSL
1144054,RE1,S101,IMPDSL,CONSNGS,2032,0.0,2032,IMPDSL
1144055,RE1,S101,IMPDSL,CONSNGS,2033,0.0,2033,IMPDSL
1144056,RE1,S101,IMPDSL,CONSNGS,2034,0.0,2034,IMPDSL
1144057,RE1,S101,IMPDSL,CONSNGS,2035,0.0,2035,IMPDSL
1144058,RE1,S101,IMPDSL,CONSNGS,2036,0.0,2036,IMPDSL
1144059,RE1,S101,IMPDSL,CONSNGS,2037,0.0,2037,IMPDSL
1144060,RE1,S101,IMPDSL,CONSNGS,2038,0.0,2038,IMPDSL
1144061,RE1,S101,IMPDSL,CONSNGS,2039,0.0,2039,IMPDSL
1144062,RE1,S101,IMPDSL,CONSNGS,2040,0.0,2040,IMPDSL
1144063,RE1,S101,IMPDSL,CONSNGS,2041,0.0,2041,IMPDSL
1144064,RE1,S101,IMPDSL,CONSNGS,2042,0.0,2042,IMPDSL
1144065,RE1,S101,IMPDSL,CONSNGS,2043,0.0,2043,IMPDSL
1144066,RE1,S101,IMPDSL,CONSNGS,2044,0.0,2044,IMPDSL
1144067,RE1,S101,IMPDSL,CONSNGS,2045,0.0,2045,IMPDSL
1144068,RE1,S101,IMPDSL,CONSNGS,2046,0.0,2046,IMPDSL
1144069,RE1,S101,IMPDSL,CONSNGS,2047,0.0,2047,IMPDSL
1144070,RE1,S101,IMPDSL,CONSNGS,2048,0.0,2048,IMPDSL
1144071,RE1,S101,IMPDSL,CONSNGS,2049,0.0,2049,IMPDSL
1144072,RE1,S101,IMPDSL,CONSNGS,2050,0.0,2050,IMPDSL
1144073,RE1,S101,IMPDSL,CONSNGS,2051,0.0,2051,IMPDSL
1144074,RE1,S101,IMPDSL,CONSNGS,2052,0.0,2052,IMPDSL
1144075,RE1,S101,IMPDSL,CONSNGS,2053,0.0,2053,IMPDSL
1144076,RE1,S101,IMPDSL,CONSNGS,2054,0.0,2054,IMPDSL
1144077,RE1,S101,IMPDSL,COQDSL,2022,0.0,2022,IMPDSL
1144078,RE1,S101,IMPDSL,COQDSL,2023,0.0,2023,IMPDSL
1144079,RE1,S101,IMPDSL,COQDSL,2024,0.0,2024,IMPDSL
1144080,RE1,S101,IMPDSL,COQDSL,2025,0.0,2025,IMPDSL
1144081,RE1,S101,IMPDSL,COQDSL,2026,0.0,2026,IMPDSL
1144082,RE1,S101,IMPDSL,COQDSL,2027,0.0,2027,IMPDSL
1144083,RE1,S101,IMPDSL,COQDSL,2028,0.0,2028,IMPDSL
1144084,RE1,S101,IMPDSL,COQDSL,2029,0.0,2029,IMPDSL
1144085,RE1,S101,IMPDSL,COQDSL,2030,0.0,2030,IMPDSL
1144086,RE1,S101,IMPDSL,COQDSL,2031,0.0,2031,IMPDSL
1144087,RE1,S101,IMPDSL,COQDSL,2032,0.0,2032,IMPDSL
1144088,RE1,S101,IMPDSL,COQDSL,2033,0.0,2033,IMPDSL
1144089,RE1,S101,IMPDSL,COQDSL,2034,0.0,2034,IMPDSL
1144090,RE1,S101,IMPDSL,COQDSL,2035,0.0,2035,IMPDSL
1144091,RE1,S101,IMPDSL,COQDSL,2036,0.0,2036,IMPDSL
1144092,RE1,S101,IMPDSL,COQDSL,2037,0.0,2037,IMPDSL
1144093,RE1,S101,IMPDSL,COQDSL,2038,0.0,2038,IMPDSL
1144094,RE1,S101,IMPDSL,COQDSL,2039,0.0,2039,IMPDSL
1144095,RE1,S101,IMPDSL,COQDSL,2040,0.0,2040,IMPDSL
1144096,RE1,S101,IMPDSL,COQDSL,2041,0.0,2041,IMPDSL
1144097,RE1,S101,IMPDSL,COQDSL,2042,0.0,2042,IMPDSL
1144098,RE1,S101,IMPDSL,COQDSL,2043,0.0,2043,IMPDSL
1144099,RE1,S101,IMPDSL,COQDSL,2044,0.0,2044,IMPDSL
1144100,RE1,S101,IMPDSL,COQDSL,2045,0.0,2045,IMPDSL
1144101,RE1,S101,IMPDSL,COQDSL,2046,0.0,2046,IMPDSL
1144102,RE1,S101,IMPDSL,COQDSL,2047,0.0,2047,IMPDSL
1144103,RE1,S101,IMPDSL,COQDSL,2048,0.0,2048,IMPDSL
1144104,RE1,S101,IMPDSL,COQDSL,2049,0.0,2049,IMPDSL
1144105,RE1,S101,IMPDSL,COQDSL,2050,0.0,2050,IMPDSL
1144106,RE1,S101,IMPDSL,COQDSL,2051,0.0,2051,IMPDSL
1144107,RE1,S101,IMPDSL,COQDSL,2052,0.0,2052,IMPDSL
1144108,RE1,S101,IMPDSL,COQDSL,2053,0.0,2053,IMPDSL
1144109,RE1,S101,IMPDSL,COQDSL,2054,0.0,2054,IMPDSL
1144110,RE1,S101,IMPDSL,COQGSL,2022,0.0,2022,IMPDSL
1144111,RE1,S101,IMPDSL,COQGSL,2023,0.0,2023,IMPDSL
1144112,RE1,S101,IMPDSL,COQGSL,2024,0.0,2024,IMPDSL
1144113,RE1,S101,IMPDSL,COQGSL,2025,0.0,2025,IMPDSL
1144114,RE1,S101,IMPDSL,COQGSL,2026,0.0,2026,IMPDSL
1144115,RE1,S101,IMPDSL,COQGSL,2027,0.0,2027,IMPDSL
1144116,RE1,S101,IMPDSL,COQGSL,2028,0.0,2028,IMPDSL
1144117,RE1,S101,IMPDSL,COQGSL,2029,0.0,2029,IMPDSL
1144118,RE1,S101,IMPDSL,COQGSL,2030,0.0,2030,IMPDSL
1144119,RE1,S101,IMPDSL,COQGSL,2031,0.0,2031,IMPDSL
1144120,RE1,S101,IMPDSL,COQGSL,2032,0.0,2032,IMPDSL
1144121,RE1,S101,IMPDSL,COQGSL,2033,0.0,2033,IMPDSL
1144122,RE1,S101,IMPDSL,COQGSL,2034,0.0,2034,IMPDSL
1144123,RE1,S101,IMPDSL,COQGSL,2035,0.0,2035,IMPDSL
1144124,RE1,S101,IMPDSL,COQGSL,2036,0.0,2036,IMPDSL
1144125,RE1,S101,IMPDSL,COQGSL,2037,0.0,2037,IMPDSL
1144126,RE1,S101,IMPDSL,COQGSL,2038,0.0,2038,IMPDSL
1144127,RE1,S101,IMPDSL,COQGSL,2039,0.0,2039,IMPDSL
1144128,RE1,S101,IMPDSL,COQGSL,2040,0.0,2040,IMPDSL
1144129,RE1,S101,IMPDSL,COQGSL,2041,0.0,2041,IMPDSL
1144130,RE1,S101,IMPDSL,COQGSL,2042,0.0,2042,IMPDSL
1144131,RE1,S101,IMPDSL,COQGSL,2043,0.0,2043,IMPDSL
1144132,RE1,S101,IMPDSL,COQGSL,2044,0.0,2044,IMPDSL
1144133,RE1,S101,IMPDSL,COQGSL,2045,0.0,2045,IMPDSL
1144134,RE1,S101,IMPDSL,COQGSL,2046,0.0,2046,IMPDSL
1144135,RE1,S101,IMPDSL,COQGSL,2047,0.0,2047,IMPDSL
1144136,RE1,S101,IMPDSL,COQGSL,2048,0.0,2048,IMPDSL
1144137,RE1,S101,IMPDSL,COQGSL,2049,0.0,2049,IMPDSL
1144138,RE1,S101,IMPDSL,COQGSL,2050,0.0,2050,IMPDSL
1144139,RE1,S101,IMPDSL,COQGSL,2051,0.0,2051,IMPDSL
1144140,RE1,S101,IMPDSL,COQGSL,2052,0.0,2052,IMPDSL
1144141,RE1,S101,IMPDSL,COQGSL,2053,0.0,2053,IMPDSL
1144142,RE1,S101,IMPDSL,COQGSL,2054,0.0,2054,IMPDSL
1144143,RE1,S101,IMPDSL,INDIHT,2022,0.0,2022,IMPDSL
1144144,RE1,S101,IMPDSL,INDIHT,2023,0.0,2023,IMPDSL
1144145,RE1,S101,IMPDSL,INDIHT,2024,0.0,2024,IMPDSL
1144146,RE1,S101,IMPDSL,INDIHT,2025,0.0,2025,IMPDSL
1144147,RE1,S101,IMPDSL,INDIHT,2026,0.0,2026,IMPDSL
1144148,RE1,S101,IMPDSL,INDIHT,2027,0.0,2027,IMPDSL
1144149,RE1,S101,IMPDSL,INDIHT,2028,0.0,2028,IMPDSL
