,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR,GRUPO
507262,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2041,0.0,2041,DEMRESELCTV_CRT_RUR,ELC
507263,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2042,0.0,2042,DEMRESELCTV_CRT_RUR,ELC
507264,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2043,0.0,2043,DEMRESELCTV_CRT_RUR,ELC
507265,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2044,0.0,2044,DEMRESELCTV_CRT_RUR,ELC
507266,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2045,0.0,2045,DEMRESELCTV_CRT_RUR,ELC
507267,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2046,0.0,2046,DEMRESELCTV_CRT_RUR,ELC
507268,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2047,0.0,2047,DEMRESELCTV_CRT_RUR,ELC
507269,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2048,0.0,2048,DEMRESELCTV_CRT_RUR,ELC
507270,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2049,0.0,2049,DEMRESELCTV_CRT_RUR,ELC
507271,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2050,0.0,2050,DEMRESELCTV_CRT_RUR,ELC
507272,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2051,0.0,2051,DEMRESELCTV_CRT_RUR,ELC
507273,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2052,0.0,2052,DEMRESELCTV_CRT_RUR,ELC
507274,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2053,0.0,2053,DEMRESELCTV_CRT_RUR,ELC
507275,RE1,S101,DEMRESELCTV_CRT_RUR,AGFHEA,2054,0.0,2054,DEMRESELCTV_CRT_RUR,ELC
507276,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2022,0.0,2022,DEMRESELCTV_CRT_RUR,ELC
507277,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2023,0.0,2023,DEMRESELCTV_CRT_RUR,ELC
507278,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2024,0.0,2024,DEMRESELCTV_CRT_RUR,ELC
507279,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2025,0.0,2025,DEMRESELCTV_CRT_RUR,ELC
507280,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2026,0.0,2026,DEMRESELCTV_CRT_RUR,ELC
507281,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2027,0.0,2027,DEMRESELCTV_CRT_RUR,ELC
507282,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2028,0.0,2028,DEMRESELCTV_CRT_RUR,ELC
507283,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2029,0.0,2029,DEMRESELCTV_CRT_RUR,ELC
507284,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2030,0.0,2030,DEMRESELCTV_CRT_RUR,ELC
507285,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2031,0.0,2031,DEMRESELCTV_CRT_RUR,ELC
507286,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2032,0.0,2032,DEMRESELCTV_CRT_RUR,ELC
507287,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2033,0.0,2033,DEMRESELCTV_CRT_RUR,ELC
507288,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2034,0.0,2034,DEMRESELCTV_CRT_RUR,ELC
507289,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2035,0.0,2035,DEMRESELCTV_CRT_RUR,ELC
507290,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2036,0.0,2036,DEMRESELCTV_CRT_RUR,ELC
507291,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2037,0.0,2037,DEMRESELCTV_CRT_RUR,ELC
507292,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2038,0.0,2038,DEMRESELCTV_CRT_RUR,ELC
507293,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2039,0.0,2039,DEMRESELCTV_CRT_RUR,ELC
507294,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2040,0.0,2040,DEMRESELCTV_CRT_RUR,ELC
507295,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2041,0.0,2041,DEMRESELCTV_CRT_RUR,ELC
507296,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2042,0.0,2042,DEMRESELCTV_CRT_RUR,ELC
507297,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2043,0.0,2043,DEMRESELCTV_CRT_RUR,ELC
507298,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2044,0.0,2044,DEMRESELCTV_CRT_RUR,ELC
507299,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2045,0.0,2045,DEMRESELCTV_CRT_RUR,ELC
507300,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2046,0.0,2046,DEMRESELCTV_CRT_RUR,ELC
507301,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2047,0.0,2047,DEMRESELCTV_CRT_RUR,ELC
507302,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2048,0.0,2048,DEMRESELCTV_CRT_RUR,ELC
507303,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2049,0.0,2049,DEMRESELCTV_CRT_RUR,ELC
507304,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2050,0.0,2050,DEMRESELCTV_CRT_RUR,ELC
507305,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2051,0.0,2051,DEMRESELCTV_CRT_RUR,ELC
507306,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2052,0.0,2052,DEMRESELCTV_CRT_RUR,ELC
507307,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2053,0.0,2053,DEMRESELCTV_CRT_RUR,ELC
507308,RE1,S101,DEMRESELCTV_CRT_RUR,AGFELC,2054,0.0,2054,DEMRESELCTV_CRT_RUR,ELC
507309,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2022,0.0,2022,DEMRESELCTV_CRT_RUR,ELC
507310,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2023,0.0,2023,DEMRESELCTV_CRT_RUR,ELC
507311,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2024,0.0,2024,DEMRESELCTV_CRT_RUR,ELC
507312,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2025,0.0,2025,DEMRESELCTV_CRT_RUR,ELC
507313,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2026,0.0,2026,DEMRESELCTV_CRT_RUR,ELC
507314,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2027,0.0,2027,DEMRESELCTV_CRT_RUR,ELC
507315,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2028,0.0,2028,DEMRESELCTV_CRT_RUR,ELC
507316,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2029,0.0,2029,DEMRESELCTV_CRT_RUR,ELC
507317,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2030,0.0,2030,DEMRESELCTV_CRT_RUR,ELC
507318,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2031,0.0,2031,DEMRESELCTV_CRT_RUR,ELC
507319,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2032,0.0,2032,DEMRESELCTV_CRT_RUR,ELC
507320,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2033,0.0,2033,DEMRESELCTV_CRT_RUR,ELC
507321,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2034,0.0,2034,DEMRESELCTV_CRT_RUR,ELC
507322,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2035,0.0,2035,DEMRESELCTV_CRT_RUR,ELC
507323,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2036,0.0,2036,DEMRESELCTV_CRT_RUR,ELC
507324,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2037,0.0,2037,DEMRESELCTV_CRT_RUR,ELC
507325,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2038,0.0,2038,DEMRESELCTV_CRT_RUR,ELC
507326,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2039,0.0,2039,DEMRESELCTV_CRT_RUR,ELC
507327,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2040,0.0,2040,DEMRESELCTV_CRT_RUR,ELC
507328,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2041,0.0,2041,DEMRESELCTV_CRT_RUR,ELC
507329,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2042,0.0,2042,DEMRESELCTV_CRT_RUR,ELC
507330,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2043,0.0,2043,DEMRESELCTV_CRT_RUR,ELC
507331,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2044,0.0,2044,DEMRESELCTV_CRT_RUR,ELC
507332,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2045,0.0,2045,DEMRESELCTV_CRT_RUR,ELC
507333,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2046,0.0,2046,DEMRESELCTV_CRT_RUR,ELC
507334,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2047,0.0,2047,DEMRESELCTV_CRT_RUR,ELC
507335,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2048,0.0,2048,DEMRESELCTV_CRT_RUR,ELC
507336,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2049,0.0,2049,DEMRESELCTV_CRT_RUR,ELC
507337,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2050,0.0,2050,DEMRESELCTV_CRT_RUR,ELC
507338,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2051,0.0,2051,DEMRESELCTV_CRT_RUR,ELC
507339,RE1,S101,DEMRESELCTV_CRT_RUR,CONSDSL,2052,0.0,2052,DEMRESELCTV_CRT_RUR,ELC
