REGION,TECHNOLOGY,VALUE
RE1,DEMTRAHEVFWD,9999999.0
RE1,DEMTRAHEVLDV,9999999.0
RE1,DEMTRAJETAVI,9999999.0
RE1,DEMTRAJETSAFAVI,9999999.0
RE1,DEMTRANGSBUS_ART,9999999.0
RE1,DEMTRANGSBUS_BIA,9999999.0
RE1,"DEMTRANGSBUS_IMU
",9999999.0
RE1,DEMTRANGSBUS_URB,9999999.0
RE1,DEMTRANGSFWD,9999999.0
RE1,DEMTRANGSLDV,9999999.0
RE1,DEMTRANGSMIC,9999999.0
RE1,DEMTRANGSSTT,9999999.0
RE1,DEMTRANGSTAX,9999999.0
RE1,DEMTRANGSTCK_C2P,9999999.0
RE1,DEMTRANGSTCK_CSG,9999999.0
RE1,DEMTRAPHEVFWD,9999999.0
RE1,DEMTRAPHEVLDV,9999999.0
RE1,DEMTRAPHEVTAX,9999999.0
RE1,EXPOIL,9999999.0
RE1,GRDCOADST,9999999.0
RE1,GRDLPGDST,9999999.0
RE1,GRDNGSDST,9999999.0
RE1,GRDTYDELC,9999999.0
RE1,GRDZNIELC,9999999.0
RE1,IMPDSL,9999999.0
RE1,IMPFOL,9999999.0
RE1,IMPGSL,9999999.0
RE1,IMPJET,9999999.0
RE1,IMPLNG,9999999.0
RE1,IMPLPG,9999999.0
RE1,IMPOIL,9999999.0
RE1,IMPURN,33880.0
RE1,MINAFR,9999999.0
RE1,MINBAG,9999999.0
RE1,MINCOA,122958.0
RE1,MINCSP,9999999.0
RE1,MINDAM,9999999.0
RE1,MINGEO,9999999.0
RE1,MINLPG,151.8471831073772
RE1,MINNGS,3223.516600039093
RE1,MINOFW_FIX,9999999.0
RE1,MINOFW_FLO,9999999.0
RE1,MINOIL,17590.0
RE1,MINONW,9999999.0
RE1,MINOPL,9999999.0
RE1,MINROR,9999999.0
RE1,MINSGC,9999999.0
RE1,MINSOL,9999999.0
RE1,MINSOL_RTP,9999999.0
RE1,MINWAS,9999999.0
RE1,MINWAS_ORG,9999999.0
RE1,MINWOO,9999999.0
