REGION,TECHNOLOGY,VALUE
RE1,DEMRESNGSWHT_FOR_LOW_RUR,10.0
RE1,DEMRESNGSWHT_FOR_LOW_URB,10.0
RE1,DEMRESNGSWHT_FOR_MID_RUR,10.0
RE1,DEMRESNGSWHT_FOR_MID_URB,10.0
RE1,DEMRESNGSWHT_NAT_HIG_RUR,10.0
RE1,DEMRESNGSWHT_NAT_HIG_URB,10.0
RE1,DEMRESNGSWHT_NAT_LOW_RUR,10.0
RE1,DEMRESNGSWHT_NAT_LOW_URB,10.0
RE1,DEMRESWOOCKN_HIG_RUR,30.0
RE1,DEMRESWOOCKN_HIG_URB,30.0
RE1,DEMRESWOOCKN_LOW_RUR,20.0
RE1,DEMRESWOOCKN_LOW_URB,20.0
RE1,DEMRESWOOCKN_MID_RUR,20.0
RE1,DEMRESWOOCKN_MID_URB,20.0
RE1,DEMRESZNIBGSCKN_MID,15.0
RE1,DEMRESZNIELC_LOW,5.0
RE1,DEMRESZNIELCCKN_LOW,15.0
RE1,DEMRESZNILPGCKN_MID,15.0
RE1,DEMRESZNIWOOCKN_LOW,15.0
RE1,DEMTERBGSCKN_HIG,30.0
RE1,DEMTERBGSCKN_LOW,30.0
RE1,DEMTERBGSCKN_MID,30.0
RE1,DEMTERELCACL_HIG,10.0
RE1,DEMTERELCACL_LOW,10.0
RE1,DEMTERELCACL_MID,10.0
RE1,DEMTERELCAIR_CEN_HIG,20.0
RE1,DEMTERELCAIR_CEN_LOW,20.0
RE1,DEMTERELCAIR_CEN_MID,20.0
RE1,DEMTERELCAIR_SPL_HIG,20.0
RE1,DEMTERELCAIR_SPL_LOW,20.0
RE1,DEMTERELCAIR_SPL_MID,20.0
RE1,DEMTERELCCKN_HIG,30.0
RE1,DEMTERELCCKN_LOW,30.0
RE1,DEMTERELCCKN_MID,30.0
RE1,DEMTERELCDATA,35.0
RE1,DEMTERELCFAN_HIG,10.0
RE1,DEMTERELCFAN_LOW,10.0
RE1,DEMTERELCFAN_MID,10.0
RE1,DEMTERELCILU_CIA,2.0
RE1,DEMTERELCILU_HAL,2.0
RE1,DEMTERELCILU_HIG,7.0
RE1,DEMTERELCILU_LFC,2.0
RE1,DEMTERELCILU_LOW,7.0
RE1,DEMTERELCILU_MID,7.0
RE1,DEMTERELCILU_VAP,2.0
RE1,DEMTERELCMPW_HIG,20.0
RE1,DEMTERELCMPW_LOW,20.0
RE1,DEMTERELCMPW_MID,20.0
RE1,DEMTERELCOTH_HIG,5.0
RE1,DEMTERELCOTH_LOW,5.0
RE1,DEMTERELCOTH_MID,5.0
RE1,DEMTERELCREF_AUC_HIG,15.0
RE1,DEMTERELCREF_AUC_LOW,15.0
RE1,DEMTERELCREF_AUC_MID,15.0
RE1,DEMTERELCREF_CEN_HIG,20.0
RE1,DEMTERELCREF_CEN_LOW,20.0
RE1,DEMTERELCREF_CEN_MID,20.0
RE1,DEMTERLPGCKN_HIG,30.0
RE1,DEMTERLPGCKN_LOW,30.0
RE1,DEMTERLPGCKN_MID,30.0
RE1,DEMTERNGSCKN_HIG,30.0
RE1,DEMTERNGSCKN_LOW,30.0
RE1,DEMTRADSLBOT,25.0
RE1,DEMTRADSLBUS_ART,32.0
RE1,DEMTRADSLBUS_BIA,32.0
RE1,"DEMTRADSLBUS_IMU
",25.0
RE1,DEMTRADSLBUS_URB,32.0
RE1,DEMTRADSLFWD,20.0
RE1,DEMTRADSLLDV,20.0
RE1,DEMTRADSLMIC,25.0
RE1,DEMTRADSLSHP,35.0
RE1,DEMTRADSLSTT,30.0
RE1,DEMTRADSLTAX,20.0
RE1,DEMTRADSLTCK_C2P,34.0
RE1,DEMTRADSLTCK_CSG,34.0
RE1,DEMTRAELCBOT,25.0
RE1,DEMTRAELCBUS_ART,32.0
RE1,DEMTRAELCBUS_BIA,32.0
RE1,"DEMTRAELCBUS_IMU
",25.0
RE1,DEMTRAELCBUS_URB,32.0
RE1,DEMTRAELCFWD,20.0
RE1,DEMTRAELCLDV,20.0
RE1,DEMTRAELCMET,35.0
RE1,DEMTRAELCMIC,25.0
RE1,DEMTRAELCMOT,12.0
RE1,DEMTRAELCSTT,30.0
RE1,DEMTRAELCTAX,20.0
RE1,DEMTRAELCTCK_C2P,34.0
RE1,DEMTRAELCTCK_CSG,34.0
RE1,DEMTRAFOLSHP,30.0
RE1,DEMTRAGSLBOT,25.0
RE1,"DEMTRAGSLBUS_IMU
",25.0
RE1,DEMTRAGSLFWD,20.0
RE1,DEMTRAGSLLDV,20.0
RE1,DEMTRAGSLMIC,25.0
RE1,DEMTRAGSLMOT,12.0
RE1,DEMTRAGSLSTT,30.0
RE1,DEMTRAGSLTAX,20.0
RE1,DEMTRAGSLTCK_C2P,34.0
RE1,"DEMTRAHDGBUS_IMU
",25.0
RE1,DEMTRAHDGBUS_URB,32.0
RE1,DEMTRAHDGFWD,20.0
RE1,DEMTRAHDGLDV,20.0
RE1,DEMTRAHDGMIC,25.0
RE1,DEMTRAHDGSTT,30.0
RE1,DEMTRAHDGTAX,20.0
RE1,DEMTRAHDGTCK_CSG,34.0
RE1,DEMTRAHEVFWD,20.0
RE1,DEMTRAHEVLDV,20.0
RE1,DEMTRAJETAVI,35.0
RE1,DEMTRAJETSAFAVI,35.0
RE1,DEMTRANGSBUS_ART,32.0
RE1,DEMTRANGSBUS_BIA,32.0
RE1,"DEMTRANGSBUS_IMU
",25.0
RE1,DEMTRANGSBUS_URB,32.0
RE1,DEMTRANGSFWD,20.0
RE1,DEMTRANGSLDV,20.0
RE1,DEMTRANGSMIC,25.0
RE1,DEMTRANGSSTT,30.0
RE1,DEMTRANGSTAX,20.0
RE1,DEMTRANGSTCK_C2P,34.0
RE1,DEMTRANGSTCK_CSG,34.0
RE1,DEMTRAPHEVFWD,20.0
RE1,DEMTRAPHEVLDV,20.0
RE1,DEMTRAPHEVTAX,20.0
RE1,EXPOIL,100.0
RE1,GRDCOADST,30.0
RE1,GRDLPGDST,50.0
RE1,GRDNGSDST,50.0
RE1,GRDTYDELC,30.0
RE1,GRDZNIELC,35.0
RE1,IMPDSL,100.0
RE1,IMPFOL,100.0
RE1,IMPGSL,100.0
RE1,IMPJET,100.0
RE1,IMPLNG,100.0
RE1,IMPLPG,100.0
RE1,IMPOIL,100.0
RE1,IMPURN,100.0
RE1,MINAFR,100.0
RE1,MINBAG,100.0
RE1,MINCOA,100.0
RE1,MINCSP,100.0
RE1,MINDAM,100.0
RE1,MINGEO,100.0
RE1,MINLPG,100.0
