REGION,FUEL,YEAR,VALUE
RE1,INDDHT,2044,88.02125669169753
RE1,INDDHT,2045,91.36356670781792
RE1,INDDHT,2046,94.83808449954414
RE1,INDDHT,2047,98.46872062038602
RE1,INDDHT,2048,102.23595698608038
RE1,INDDHT,2049,106.1443943329496
RE1,INDDHT,2050,110.1993493959936
RE1,INDDHT,2051,114.41302291368602
RE1,INDDHT,2052,118.792421109575
RE1,INDDHT,2053,123.53007271139822
RE1,INDDHT,2054,128.43548925354165
RE1,INDIHT,2022,95.75279994985314
RE1,INDIHT,2023,97.70124289007776
RE1,INDIHT,2024,95.6583815252622
RE1,INDIHT,2025,96.721410570757
RE1,INDIHT,2026,98.74516770350463
RE1,INDIHT,2027,100.27605518635067
RE1,INDIHT,2028,102.31964829051114
RE1,INDIHT,2029,104.54440944972312
RE1,INDIHT,2030,106.08828104113434
RE1,INDIHT,2031,107.67376131082322
RE1,INDIHT,2032,109.25289538203492
RE1,INDIHT,2033,110.83143164617078
RE1,INDIHT,2034,114.19282586864678
RE1,INDIHT,2035,118.39982650733025
RE1,INDIHT,2036,122.77104244925356
RE1,INDIHT,2037,127.35036749782968
RE1,INDIHT,2038,132.11008460635057
RE1,INDIHT,2039,137.05798927366234
RE1,INDIHT,2040,142.20210743551124
RE1,INDIHT,2041,147.5506760594738
RE1,INDIHT,2042,153.22122614104276
RE1,INDIHT,2043,159.11857370611435
RE1,INDIHT,2044,165.25250307512889
RE1,INDIHT,2045,171.6332398030764
RE1,INDIHT,2046,178.27122798239557
RE1,INDIHT,2047,185.21155807604111
RE1,INDIHT,2048,192.418101436829
RE1,INDIHT,2049,199.90006463867903
RE1,INDIHT,2050,207.6680299644336
RE1,INDIHT,2051,215.74597709731148
RE1,INDIHT,2052,224.14740566057716
RE1,INDIHT,2053,233.0818058926785
RE1,INDIHT,2054,242.33247138494815
RE1,INDILU,2022,1.2694628410381872
RE1,INDILU,2023,1.2098182620082407
RE1,INDILU,2024,1.1856723185240607
RE1,INDILU,2025,1.1992113036539227
RE1,INDILU,2026,1.2244181765596955
RE1,INDILU,2027,1.2435592825094666
RE1,INDILU,2028,1.269103132270935
RE1,INDILU,2029,1.2969389414718435
RE1,INDILU,2030,1.316370792957151
RE1,INDILU,2031,1.3363608843892385
RE1,INDILU,2032,1.3563118576842526
RE1,INDILU,2033,1.3762942615525555
RE1,INDILU,2034,1.4184608412621225
RE1,INDILU,2035,1.4711862408748635
RE1,INDILU,2036,1.526014007438976
RE1,INDILU,2037,1.5834914498300696
RE1,INDILU,2038,1.6432777999404349
RE1,INDILU,2039,1.7054738239639962
RE1,INDILU,2040,1.7701834294811931
RE1,INDILU,2041,1.837515817741387
RE1,INDILU,2042,1.9089375589748945
RE1,INDILU,2043,1.9832687829170204
RE1,INDILU,2044,2.0606366345519977
RE1,INDILU,2045,2.1411740993041164
RE1,INDILU,2046,2.2250202890270474
RE1,INDILU,2047,2.3127414596753506
