REGION,TECHNOLOGY,VALUE
RE1,SO_DEMTRADSLTCK_CSG,0.05
RE1,OR_DEMTRADSLTCK_CSG,0.05
RE1,CA_DEMTRADSLTCK_CSG,0.05
RE1,NE_DEMTRAELCTCK_C2P,0.05
RE1,AN_DEMTRAELCTCK_C2P,0.05
RE1,SO_DEMTRAELCTCK_C2P,0.05
RE1,OR_DEMTRAELCTCK_C2P,0.05
RE1,CA_DEMTRAELCTCK_C2P,0.05
RE1,NE_DEMTRAELCTCK_CSG,0.05
RE1,AN_DEMTRAELCTCK_CSG,0.05
RE1,SO_DEMTRAELCTCK_CSG,0.05
RE1,OR_DEMTRAELCTCK_CSG,0.05
RE1,CA_DEMTRAELCTCK_CSG,0.05
RE1,NE_DEMTRAGSLTCK_C2P,0.05
RE1,AN_DEMTRAGSLTCK_C2P,0.05
RE1,SO_DEMTRAGSLTCK_C2P,0.05
RE1,OR_DEMTRAGSLTCK_C2P,0.05
RE1,CA_DEMTRAGSLTCK_C2P,0.05
RE1,NE_DEMTRAHDGTCK_CSG,0.05
RE1,AN_DEMTRAHDGTCK_CSG,0.05
RE1,SO_DEMTRAHDGTCK_CSG,0.05
RE1,OR_DEMTRAHDGTCK_CSG,0.05
RE1,CA_DEMTRAHDGTCK_CSG,0.05
RE1,NE_DEMTRANGSTCK_C2P,0.05
RE1,AN_DEMTRANGSTCK_C2P,0.05
RE1,SO_DEMTRANGSTCK_C2P,0.05
RE1,OR_DEMTRANGSTCK_C2P,0.05
RE1,CA_DEMTRANGSTCK_C2P,0.05
RE1,NE_DEMTRANGSTCK_CSG,0.05
RE1,AN_DEMTRANGSTCK_CSG,0.05
RE1,SO_DEMTRANGSTCK_CSG,0.05
RE1,OR_DEMTRANGSTCK_CSG,0.05
RE1,CA_DEMTRANGSTCK_CSG,0.05
RE1,NE_DEMTRADSLTAX,0.05
RE1,AN_DEMTRADSLTAX,0.05
RE1,SO_DEMTRADSLTAX,0.05
RE1,OR_DEMTRADSLTAX,0.05
RE1,CA_DEMTRADSLTAX,0.05
RE1,NE_DEMTRAELCTAX,0.05
RE1,AN_DEMTRAELCTAX,0.05
RE1,SO_DEMTRAELCTAX,0.05
RE1,OR_DEMTRAELCTAX,0.05
RE1,CA_DEMTRAELCTAX,0.05
RE1,NE_DEMTRAGSLTAX,0.05
RE1,AN_DEMTRAGSLTAX,0.05
RE1,SO_DEMTRAGSLTAX,0.05
RE1,OR_DEMTRAGSLTAX,0.05
RE1,CA_DEMTRAGSLTAX,0.05
RE1,NE_DEMTRAHDGTAX,0.05
RE1,AN_DEMTRAHDGTAX,0.05
RE1,SO_DEMTRAHDGTAX,0.05
RE1,OR_DEMTRAHDGTAX,0.05
RE1,CA_DEMTRAHDGTAX,0.05
RE1,NE_DEMTRANGSTAX,0.05
RE1,AN_DEMTRANGSTAX,0.05
RE1,SO_DEMTRANGSTAX,0.05
RE1,OR_DEMTRANGSTAX,0.05
RE1,CA_DEMTRANGSTAX,0.05
RE1,NE_DEMTRAPHEVTAX,0.05
RE1,AN_DEMTRAPHEVTAX,0.05
RE1,SO_DEMTRAPHEVTAX,0.05
RE1,OR_DEMTRAPHEVTAX,0.05
RE1,CA_DEMTRAPHEVTAX,0.05
RE1,NE_DEMTRADSLSTT,0.05
RE1,AN_DEMTRADSLSTT,0.05
RE1,SO_DEMTRADSLSTT,0.05
RE1,OR_DEMTRADSLSTT,0.05
RE1,CA_DEMTRADSLSTT,0.05
RE1,NE_DEMTRAELCSTT,0.05
RE1,AN_DEMTRAELCSTT,0.05
RE1,SO_DEMTRAELCSTT,0.05
RE1,OR_DEMTRAELCSTT,0.05
RE1,CA_DEMTRAELCSTT,0.05
RE1,NE_DEMTRAGSLSTT,0.05
RE1,AN_DEMTRAGSLSTT,0.05
